,,Lätt,Medelsvårt,Svårt,Extremt svårt
Kommunalskattesystem,Simple,,,,
Affär,Simple,,,,
Mount,Simple,,,,
Ll-Stiftelsen,Simple,,,,
Gästspela,Simple,,,,
California,Simple,,,,
Fridlysa,Simple,,,,
Rökugn,Simple,,,,
Ål,Simple,,,,
År 1919,Obscure,,,,
Anvisad,Simple,,,,
Filmhuma,Simple,,,,
Hårdhjärtad,Simple,,,,
Bromberg,Simple,,,,
Lohengrin,Obscure,,,,
Reservbatteri,Simple,,,,
Ölkrog,Simple,,,,
Socialförsäkringsutskott,Obscure,,,,
Förord,Obscure,,,,
Ljushyad,Simple,,,,
Bixios,Simple,,,,
Densamma,Simple,,,,
Ekborg,Simple,,,,
Aouda,Simple,,,,
Prisutdelning,Obscure,,,,
C-N,Simple,,,,
Sälj,Simple,,,,
Schiller,Simple,,,,
Tillräckligt,Simple,,,,
Kavallerist,Obscure,,,,
Parisisk,Obscure,,,,
Forskningsminister,Simple,,,,
Montreal,Obscure,,,,
Pipspänning,Simple,,,,
Odessa,Simple,,,,
Progressivt,Simple,,,,
Högmod,Obscure,,,,
Från 60-Talet,Obscure,,,,
Favör,Simple,,,,
Hårdrationalisera,Simple,,,,
På 60-Talet,Obscure,,,,
Krås,Simple,,,,
Kvalifikationsutredning,Simple,,,,
Krjukov,Simple,,,,
Albert Schweitzer,Obscure,,,,
CDU-ledd,Simple,,,,
Over,Simple,,,,
Till Dags Dato,Obscure,,,,
Förödd,Simple,,,,
Nytt,Simple,,,,
Mak,Simple,,,,
Verdis,Simple,,,,
Kultförklarad,Simple,,,,
Adjungerad,Simple,,,,
Trumma,Simple,,,,
Kostnadsökande,Simple,,,,
Bostadslösning,Simple,,,,
Kompressorteknik,Simple,,,,
Hyresrättslägenhet,Simple,,,,
Ju,Simple,,,,
Whiskymärkt,Simple,,,,
Carol,Simple,,,,
Konkurrenstryck,Simple,,,,
Hittillsvarande,Simple,,,,
Älskad,Simple,,,,
Gran,Simple,,,,
Råvaruleverans,Simple,,,,
Hitchcocklärobok,Simple,,,,
Observateur,Simple,,,,
Inger Ärlemalms,Obscure,,,,
På Fredagarna,Obscure,,,,
Naturskyddsföreningen,Simple,,,,
Ära,Simple,,,,
Sjunkande,Simple,,,,
Specialbyggd,Simple,,,,
Perites-Alentejo,Simple,,,,
Horace,Simple,,,,
Väggspegel,Simple,,,,
Terpentin,Obscure,,,,
Försvarsjobb,Simple,,,,
Delta,Simple,,,,
Grop,Simple,,,,
Försona,Simple,,,,
Julivärme,Simple,,,,
Ordbruk,Simple,,,,
Dröm,Simple,,,,
Förhand,Simple,,,,
Mossliknande,Simple,,,,
Lekyth,Simple,,,,
Svensson,Simple,,,,
Tömma,Simple,,,,
Statsspråk,Simple,,,,
Pappersbruk,Obscure,,,,
Skrivbordsmatematik,Simple,,,,
Kungapar,Obscure,,,,
Parklandskap,Simple,,,,
Sent På Onsdagkvällen,Obscure,,,,
Folklivsforskare,Obscure,,,,
Arbetsstopp,Simple,,,,
Per-Anders,Simple,,,,
Kolli,Simple,,,,
House,Simple,,,,
Undre,Simple,,,,
Basis,Simple,,,,
Prick,Simple,,,,
Tjock,Simple,,,,
Hud,Simple,,,,
Positiva Sverige,Obscure,,,,
Mats Wilander,Obscure,,,,
Multimediaspektakel,Simple,,,,
Utlandsförmedling,Simple,,,,
Likblek,Obscure,,,,
Will,Simple,,,,
Herkule,Simple,,,,
Fackpamp,Simple,,,,
TT-Aftonbladet,Simple,,,,
Ubåtsprojekt,Simple,,,,
Panncentral,Simple,,,,
Vederbörligen,Simple,,,,
Utlokalisera,Simple,,,,
Förenad,Simple,,,,
"6,2 Miljarder Dollar",Obscure,,,,
Hundratusentals Kronor,Obscure,,,,
Anstalt,Simple,,,,
Struken,Simple,,,,
Hemställan,Obscure,,,,
Helsingborgs,Obscure,,,,
Respekterad,Simple,,,,
Bulten,Simple,,,,
Söndagshandlande,Simple,,,,
Bruksbil,Simple,,,,
En Månad,Obscure,,,,
Andrej,Simple,,,,
Miljöklassad,Simple,,,,
Livsväg,Simple,,,,
Sjögren,Simple,,,,
Fördubbla,Simple,,,,
Utge,Simple,,,,
Anstaltsledning,Simple,,,,
Vilt,Simple,,,,
Fällfångst,Simple,,,,
Sergels Torg,Obscure,,,,
1885,Obscure,,,,
Levnadsstandard,Obscure,,,,
Ekonomibyggnad,Obscure,,,,
Tidigare År,Obscure,,,,
Skyddande,Simple,,,,
Uttagsbeskattning,Obscure,,,,
Avvikelse,Obscure,,,,
Aula,Simple,,,,
Upptrappad,Simple,,,,
Iföra,Simple,,,,
Spritpris,Simple,,,,
Återinföra,Simple,,,,
Arbetslöshetskassa,Simple,,,,
Inräknad,Simple,,,,
Lease,Simple,,,,
Rexed,Simple,,,,
Motstrof,Obscure,,,,
Jobs,Simple,,,,
Gottgörelse,Obscure,,,,
Fritidsaffär,Simple,,,,
Huppert,Simple,,,,
Gallery,Simple,,,,
Nersliten,Simple,,,,
Injection,Simple,,,,
Dold,Simple,,,,
Långtidsparkera,Simple,,,,
Dödad,Simple,,,,
Ior,Obscure,,,,
Ledband,Simple,,,,
FN-observatör,Simple,,,,
Slafsig,Obscure,,,,
Sömnpiller,Simple,,,,
Granlund,Simple,,,,
Vasa,Simple,,,,
Acceptera,Simple,,,,
Konkursmark,Simple,,,,
Klädfirma,Simple,,,,
Utspridd,Simple,,,,
Sally,Simple,,,,
Tegel,Simple,,,,
Kulturchock,Obscure,,,,
Inkomstlös,Simple,,,,
Lauritz,Simple,,,,
Ingegerd,Obscure,,,,
Skulptera,Simple,,,,
Hansson,Simple,,,,
Delegera,Simple,,,,
Träbänk,Simple,,,,
Nerblodad,Simple,,,,
Bokenäs,Simple,,,,
Inskjuten,Simple,,,,
Remisskrivande,Simple,,,,
Förseglad,Simple,,,,
Bergkvist,Simple,,,,
Odenplan,Simple,,,,
Partiväsende,Simple,,,,
Holmsgatan,Simple,,,,
Tennis,Simple,,,,
Fruktansvärt,Simple,,,,
Blixttempo,Simple,,,,
Fascinerad,Simple,,,,
Dorotea,Simple,,,,
Distriktsförbund,Simple,,,,
Ämnesdidaktisk,Simple,,,,
Tyg,Simple,,,,
Stil,Simple,,,,
Reservtank,Simple,,,,
Gullmarsvallen,Simple,,,,
Bingo,Simple,,,,
Leif Lundbergs,Obscure,,,,
Dagligvara,Obscure,,,,
Tremtiniu,Simple,,,,
Seglarförbund,Simple,,,,
Rutinflygning,Simple,,,,
Ofullbordad,Simple,,,,
Institutionsstyrelse,Simple,,,,
Sundbyholm,Simple,,,,
Pelmo,Simple,,,,
Bengt-Göran,Simple,,,,
Egil,Simple,,,,
Smacka,Simple,,,,
Bonde,Simple,,,,
Naroskin,Simple,,,,
Andrzej,Simple,,,,
Tjugofem År,Obscure,,,,
Emmaboda,Simple,,,,
S1-Vagn,Simple,,,,
Jaan,Simple,,,,
Fläktare,Simple,,,,
Återberättare,Simple,,,,
Antagligen,Simple,,,,
Begapa,Simple,,,,
Verktygsmaskinindustri,Simple,,,,
Ruta,Simple,,,,
Chopper,Simple,,,,
Kjell,Simple,,,,
Danielsson,Simple,,,,
Klädintresserad,Simple,,,,
Omplacering,Obscure,,,,
Trångt,Simple,,,,
Knäproblem,Simple,,,,
Brunn,Simple,,,,
Lindad,Simple,,,,
Efter,Simple,,,,
Tripp,Simple,,,,
Bankkund,Simple,,,,
Triumfera,Simple,,,,
Ständigt,Simple,,,,
Förlama,Simple,,,,
Löparbana,Obscure,,,,
Nedhuggen,Simple,,,,
Hasselström,Simple,,,,
Träffa,Simple,,,,
Pjäs,Simple,,,,
Fantasieggande,Simple,,,,
Kulörtonsvag,Simple,,,,
Mött,Simple,,,,
Suddande,Obscure,,,,
Ladvägg,Simple,,,,
Matt Dillon,Obscure,,,,
Hängd,Simple,,,,
Kallblodigt,Simple,,,,
Etanolbränsle,Simple,,,,
Framlagd,Simple,,,,
Genomdriva,Simple,,,,
Centralt,Simple,,,,
Införande,Obscure,,,,
Ljudvåg,Obscure,,,,
Lott,Simple,,,,
Jubileumsnummer,Simple,,,,
Kvittera,Simple,,,,
Cajchanova,Simple,,,,
Socrates,Simple,,,,
Kvartalsavgift,Simple,,,,
Coldai,Simple,,,,
Pigg,Simple,,,,
Kundanpassning,Simple,,,,
Den 8 Juli,Obscure,,,,
Missbedöma,Simple,,,,
Införd,Simple,,,,
Ulla,Simple,,,,
Börslista,Simple,,,,
Bonnier-Dahlin,Simple,,,,
