Aberdeen,Orter i Aberdeen,Aberdeen (Orter i Aberdeen)
Lyxbil,Bilar efter klass,Lyxbil (Bilar efter klass)
Mika,Profeter i Gamla Testamentet,Mika (Profeter i Gamla Testamentet)
Respiration,Zoologi,Respiration (Zoologi)
Ockelbo,Centralorter i Gävleborgs län,Ockelbo (Centralorter i Gävleborgs län)
Glasyr,Bakverk,Glasyr (Bakverk)
Barbara Hendricks,Amerikanska sopraner,Barbara Hendricks (Amerikanska sopraner)
Kuling,Vind,Kuling (Vind)
Skeppsskorpa,Bröd,Skeppsskorpa (Bröd)
Uppvärmning,Energiteknik,Uppvärmning (Energiteknik)
Guinness Rekordbok,Engelskspråkig facklitteratur,Guinness Rekordbok (Engelskspråkig facklitteratur)
Kårobligatorium,Academica,Kårobligatorium (Academica)
Bibeln,Kristendom,Bibeln (Kristendom)
Friskola,Skolformer,Friskola (Skolformer)
Midnatt,Natt,Midnatt (Natt)
Denotation,Semantik,Denotation (Semantik)
Åhus,Historiska städer i Sverige,Åhus (Historiska städer i Sverige)
Barnflicka,Barnflickor,Barnflicka (Barnflickor)
Oaktsamhet,Ansvarighet,Oaktsamhet (Ansvarighet)
Sanitär,Militär utbildning,Sanitär (Militär utbildning)
Stocksund,Postorter i Sverige,Stocksund (Postorter i Sverige)
Dystopi,Science fiction-koncept,Dystopi (Science fiction-koncept)
Befolkning,Demografi,Befolkning (Demografi)
Henrik Forsberg,Svenska längdåkare,Henrik Forsberg (Svenska längdåkare)
Ulf Wahlberg,Svenska musiker,Ulf Wahlberg (Svenska musiker)
Golfboll,Golfutrustning,Golfboll (Golfutrustning)
1899,Samtliga årtal,1899 (Samtliga årtal)
Michael Gross,Amerikanska TV-skådespelare,Michael Gross (Amerikanska TV-skådespelare)
Knäckebröd,Bröd,Knäckebröd (Bröd)
Formalism,Rörelser inom estetik,Formalism (Rörelser inom estetik)
Kolumbarium,Begravning,Kolumbarium (Begravning)
Kurt Wallander,Fiktiva poliser,Kurt Wallander (Fiktiva poliser)
Satellit,Rymdfart,Satellit (Rymdfart)
Påfågel,Fåglar i australiska regionen,Påfågel (Fåglar i australiska regionen)
Kritstrecksrandig,Tyger,Kritstrecksrandig (Tyger)
Jean,Könsneutrala namn,Jean (Könsneutrala namn)
Systerskap,Feminism,Systerskap (Feminism)
Mike,Användare da,Mike (Användare da)
Stativ,Fotografisk utrustning,Stativ (Fotografisk utrustning)
Språkljud,Fonetik,Språkljud (Fonetik)
Seminarium,Latinska ord och uttryck,Seminarium (Latinska ord och uttryck)
Stuvsta,Huddinge kommun,Stuvsta (Huddinge kommun)
Konsekvent,Logik,Konsekvent (Logik)
Robert Broberg,Svenska sångare inom populärmusik,Robert Broberg (Svenska sångare inom populärmusik)
Svea Hovrätt,Hovrätter i Sverige,Svea Hovrätt (Hovrätter i Sverige)
Björnjakt,Jakt efter viltslag,Björnjakt (Jakt efter viltslag)
Assonans,Projekt Kvinnliga huvudpersoner,Assonans (Projekt Kvinnliga huvudpersoner)
Havsörn,Fåglar i nearktiska regionen,Havsörn (Fåglar i nearktiska regionen)
Axe,Telefonväxlar,Axe (Telefonväxlar)
Girolamo Genga,Personer från Urbino,Girolamo Genga (Personer från Urbino)
Pianomusik,Musik efter instrument,Pianomusik (Musik efter instrument)
Altarskåp,Altare,Altarskåp (Altare)
Birgitta Andersson,Svenska komiker,Birgitta Andersson (Svenska komiker)
Läkemedelsverket,Farmaci,Läkemedelsverket (Farmaci)
Måttband,Mätinstrument,Måttband (Mätinstrument)
Kazan,Städer i Ryssland,Kazan (Städer i Ryssland)
Katarina Borg,Svenska orienterare,Katarina Borg (Svenska orienterare)
Moledet,Politiska partier i Israel,Moledet (Politiska partier i Israel)
Lauritz Weibull,Hedersdoktorer vid Lunds universitet,Lauritz Weibull (Hedersdoktorer vid Lunds universitet)
Tore Zetterholm,Svenskspråkiga författare,Tore Zetterholm (Svenskspråkiga författare)
Åstorp,Orter i Ängelholms kommun,Åstorp (Orter i Ängelholms kommun)
Jordreform,Ekonomisk politik,Jordreform (Ekonomisk politik)
Glassbil,Bilar efter typ,Glassbil (Bilar efter typ)
Stig Jägerskiöld,Svenska historiker,Stig Jägerskiöld (Svenska historiker)
Tornfalk,Falkfåglar,Tornfalk (Falkfåglar)
Beroende,Droger,Beroende (Droger)
Specialstål,Stål,Specialstål (Stål)
Alfons,Mansnamn,Alfons (Mansnamn)
Kristin,Kvinnonamn,Kristin (Kvinnonamn)
Frihandelsområde,Handel,Frihandelsområde (Handel)
Datortomografi,Neurologiska undersökningsmetoder,Datortomografi (Neurologiska undersökningsmetoder)
Nordsvenska Dagbladet,Dagstidningar nedlagda 1894,Nordsvenska Dagbladet (Dagstidningar nedlagda 1894)
Kjell-Olof Feldt,Sveriges finansministrar,Kjell-Olof Feldt (Sveriges finansministrar)
Damunderkläder,Damkläder,Damunderkläder (Damkläder)
Stina Gustavsson,Personer från Alvesta,Stina Gustavsson (Personer från Alvesta)
Caruso,Sånger 1986,Caruso (Sånger 1986)
Koncentration,Kemiska egenskaper,Koncentration (Kemiska egenskaper)
Afrodite,Kärleksgudar,Afrodite (Kärleksgudar)
Nybyggare,Migration,Nybyggare (Migration)
Sveg,Tätorter i Sverige,Sveg (Tätorter i Sverige)
Tusen Och En Natt,Böcker som blivit film,Tusen Och En Natt (Böcker som blivit film)
Tjänstebil,Bilar,Tjänstebil (Bilar)
Fontän,Vatten,Fontän (Vatten)
Rosettfönster,Fönster,Rosettfönster (Fönster)
Industrialisering,Industri,Industrialisering (Industri)
Regnbåge,Meteorologi,Regnbåge (Meteorologi)
Sidospår,Järnvägar,Sidospår (Järnvägar)
Filosofi,Humaniora,Filosofi (Humaniora)
Snabbmat,Måltider,Snabbmat (Måltider)
Alaska,USA:s delstater,Alaska (USA:s delstater)
Krister Stendahl,Biskopar i Stockholms stift,Krister Stendahl (Biskopar i Stockholms stift)
Intressekonflikt,Konflikter,Intressekonflikt (Konflikter)
Petrus,Apostlarna,Petrus (Apostlarna)
Rågbröd,Bröd,Rågbröd (Bröd)
Förmögenhet,Ekonomi,Förmögenhet (Ekonomi)
Ryggsäck,Väskor,Ryggsäck (Väskor)
Luftfuktighet,Meteorologi,Luftfuktighet (Meteorologi)
Litauen,Baltikum,Litauen (Baltikum)
Bolin,Användare Sverige,Bolin (Användare Sverige)
Dan Johansson,Svenska skådespelare,Dan Johansson (Svenska skådespelare)
Släplift,Alpin skidsport,Släplift (Alpin skidsport)
Mållinje,Sporttermer,Mållinje (Sporttermer)
Partiprogram,Partiväsen,Partiprogram (Partiväsen)
Turbulens,Strömningsmekanik,Turbulens (Strömningsmekanik)
Presenning,Nyttoföremål,Presenning (Nyttoföremål)
Holland,Kvinnonamn,Holland (Kvinnonamn)
Nystedt,Svenska efternamn,Nystedt (Svenska efternamn)
Stearin,Bränslen,Stearin (Bränslen)
Paraguay,Kustlösa stater,Paraguay (Kustlösa stater)
Strandrätt,Juridiska termer,Strandrätt (Juridiska termer)
Hotell Mollberg,Byggnader i Helsingborg,Hotell Mollberg (Byggnader i Helsingborg)
Inger Jägerhorn,Finländska journalister,Inger Jägerhorn (Finländska journalister)
Clarke,Engelska efternamn,Clarke (Engelska efternamn)
Vicenza,Kommuner i provinsen Vicenza,Vicenza (Kommuner i provinsen Vicenza)
Oändlighet,Matematisk terminologi,Oändlighet (Matematisk terminologi)
Dykare,Skalbaggar,Dykare (Skalbaggar)
Repris,TV-terminologi,Repris (TV-terminologi)
Konsthantverk,Hantverk,Konsthantverk (Hantverk)
Konferens,Evenemang,Konferens (Evenemang)
1992,Samtliga årtal,1992 (Samtliga årtal)
Parlament,Statliga myndigheter,Parlament (Statliga myndigheter)
Handfull,Äldre svenska volymmått,Handfull (Äldre svenska volymmått)
Björn Wittrock,Svenska professorer i statsvetenskap,Björn Wittrock (Svenska professorer i statsvetenskap)
Småland,Sveriges landskap,Småland (Sveriges landskap)
Wilhelmina,Calliphoridae,Wilhelmina (Calliphoridae)
Undran,Musikalbum 1971,Undran (Musikalbum 1971)
Djursholm,Kommundelar i Danderyds kommun,Djursholm (Kommundelar i Danderyds kommun)
Starbåt,Kölbåtar,Starbåt (Kölbåtar)
Förstoringsglas,Optiska instrument,Förstoringsglas (Optiska instrument)
Dagsverke,Sveriges ekonomiska historia,Dagsverke (Sveriges ekonomiska historia)
Champion,Riddarväsen,Champion (Riddarväsen)
Visning,Poker,Visning (Poker)
Sommartid,Tideräkning,Sommartid (Tideräkning)
Underrättelsetjänst,Underrättelseverksamhet,Underrättelsetjänst (Underrättelseverksamhet)
Kaffekvarn,Hushållsapparater,Kaffekvarn (Hushållsapparater)
Antisemitism,Judisk historia,Antisemitism (Judisk historia)
Takfot,Byggnadsdetaljer,Takfot (Byggnadsdetaljer)
Helsingör,Gränsorter i Europa,Helsingör (Gränsorter i Europa)
Tvärsnitt,Geometri,Tvärsnitt (Geometri)
Ångpanna,Ångteknik,Ångpanna (Ångteknik)
Enhetsskola,Didaktik,Enhetsskola (Didaktik)
Brännvin,Spritdrycker,Brännvin (Spritdrycker)
Intel,Företag bildade 1968,Intel (Företag bildade 1968)
Kulturhus,Byggnadstyper,Kulturhus (Byggnadstyper)
Gagnef,Tätorter i Sverige,Gagnef (Tätorter i Sverige)
Andra Världskriget,Amerikanska krig,Andra Världskriget (Amerikanska krig)
Algot,Mansnamn,Algot (Mansnamn)
Decimeter,Längdenheter,Decimeter (Längdenheter)
Jussi,Mansnamn,Jussi (Mansnamn)
1909,Samtliga årtal,1909 (Samtliga årtal)
Håkan Södergren,Svenska ishockeyspelare,Håkan Södergren (Svenska ishockeyspelare)
Rikard,Mansnamn,Rikard (Mansnamn)
Avtalsrörelse,Arbetsliv,Avtalsrörelse (Arbetsliv)
Järnoxid,Oxider,Järnoxid (Oxider)
Sigrid,Kvinnonamn,Sigrid (Kvinnonamn)
Santa Monica,Orter grundade 1769,Santa Monica (Orter grundade 1769)
Sommarpratare,Rundradion,Sommarpratare (Rundradion)
Fatalism,Rörelser inom humanfilosofi,Fatalism (Rörelser inom humanfilosofi)
Bromma,Bromma stadsdelsområde,Bromma (Bromma stadsdelsområde)
Skymning,Tider på dygnet,Skymning (Tider på dygnet)
Gräddfil,Mejeriprodukter,Gräddfil (Mejeriprodukter)
Kolera,Vattenburna sjukdomar,Kolera (Vattenburna sjukdomar)
Dödsfall,Döden,Dödsfall (Döden)
Minneapolis,Orter i Minnesota,Minneapolis (Orter i Minnesota)
Avgudadyrkan,Religiösa beteenden och upplevelser,Avgudadyrkan (Religiösa beteenden och upplevelser)
Avrättning,Dödsstraff,Avrättning (Dödsstraff)
Entropi,Termodynamik,Entropi (Termodynamik)
Dagens Nyheter,Bonnierkoncernen,Dagens Nyheter (Bonnierkoncernen)
Botanik,Delområden inom biologi,Botanik (Delområden inom biologi)
Lagledare,Yrken,Lagledare (Yrken)
Bokmässa,Bokmässor,Bokmässa (Bokmässor)
Krängningshämmare,Bildelar,Krängningshämmare (Bildelar)
Quist,Danska efternamn,Quist (Danska efternamn)
Vilhelm Ekensteen,Funktionshinderrätt,Vilhelm Ekensteen (Funktionshinderrätt)
Bensinskatt,Skatter i Sverige,Bensinskatt (Skatter i Sverige)
Fällfors,Orter i Skellefteå kommun,Fällfors (Orter i Skellefteå kommun)
Jan Malmsjö,Svenska musikalartister,Jan Malmsjö (Svenska musikalartister)
Tiotal,Antal,Tiotal (Antal)
Mimi Pollak,Gravsatta på Lidingö kyrkogård,Mimi Pollak (Gravsatta på Lidingö kyrkogård)
Buddhism,Världsreligioner,Buddhism (Världsreligioner)
Ljussättning,Scenteknik,Ljussättning (Scenteknik)
1639,Samtliga årtal,1639 (Samtliga årtal)
Volk,Musikalbum 2006,Volk (Musikalbum 2006)
Gulsot,Leversjukdomar,Gulsot (Leversjukdomar)
Italien,Europas länder,Italien (Europas länder)
Birgit Nilsson,Sommarvärdar 1982,Birgit Nilsson (Sommarvärdar 1982)
Litteratur,Kultur,Litteratur (Kultur)
Valkyrian,Operor av Richard Wagner,Valkyrian (Operor av Richard Wagner)
Tradition,Traditioner,Tradition (Traditioner)
Bilprovningen,Vägtrafik i Sverige,Bilprovningen (Vägtrafik i Sverige)
Yang,WP:Projekt Kina,Yang (WP:Projekt Kina)
Västra Vemmenhög,Orter i Skurups kommun,Västra Vemmenhög (Orter i Skurups kommun)
Samhälle,Struktur,Samhälle (Struktur)
Regeringsorgan,Politiska organ,Regeringsorgan (Politiska organ)
Nevada,USA:s delstater,Nevada (USA:s delstater)
Svallvåg,Sjöfart,Svallvåg (Sjöfart)
Suveränitet,Statsvetenskap,Suveränitet (Statsvetenskap)
Nationalkaraktär,Stereotyper och arketyper,Nationalkaraktär (Stereotyper och arketyper)
Hans Svensson,Svenska roddare,Hans Svensson (Svenska roddare)
Akvedukt,Romersk arkitektur,Akvedukt (Romersk arkitektur)
Granbarr,Användare Sverige,Granbarr (Användare Sverige)
Personlighet,Medvetande,Personlighet (Medvetande)
Ungdom,Åldrar,Ungdom (Åldrar)
Olivträd,Syrenväxter,Olivträd (Syrenväxter)
Nyfikenhet,Motivation,Nyfikenhet (Motivation)
Källkritik,Kritik,Källkritik (Kritik)
Tirana,Europas huvudstäder,Tirana (Europas huvudstäder)
Moderata Ungdomsförbundet,Moderata samlingspartiet,Moderata Ungdomsförbundet (Moderata samlingspartiet)
Gråverk,Heraldik,Gråverk (Heraldik)
Chile,Sydamerikas länder,Chile (Sydamerikas länder)
Självmordsstatistik,Självmord,Självmordsstatistik (Självmord)
Öreryd,Orter i Gislaveds kommun,Öreryd (Orter i Gislaveds kommun)
Försäkringsbedrägeri,Försäkringsväsen,Försäkringsbedrägeri (Försäkringsväsen)
Överbefolkning,Demografi,Överbefolkning (Demografi)
Förtvivlan,Målningar 1892,Förtvivlan (Målningar 1892)
Holmgren,Svenska släkter,Holmgren (Svenska släkter)
Mönster,Grafisk teknik,Mönster (Grafisk teknik)
Bo Stenström,Finlandssvenska journalister,Bo Stenström (Finlandssvenska journalister)
Kolväte,Kolväten,Kolväte (Kolväten)
Josefus,Personer från Jerusalem,Josefus (Personer från Jerusalem)
Suspension,Kolloidkemi,Suspension (Kolloidkemi)
Barkbåt,Leksaksfordon,Barkbåt (Leksaksfordon)
Peter Almqvist,Svenska jazzgitarrister,Peter Almqvist (Svenska jazzgitarrister)
Rackare,Rättshistoria,Rackare (Rättshistoria)
Artist,Artister,Artist (Artister)
Bo Södersten,Svenska socialdemokrater,Bo Södersten (Svenska socialdemokrater)
Pia Forsberg,Svenska illustratörer,Pia Forsberg (Svenska illustratörer)
Sekularisering,Politik inom religion,Sekularisering (Politik inom religion)
Återkoppling,Systemvetenskap,Återkoppling (Systemvetenskap)
Garnison,Militär organisation,Garnison (Militär organisation)
Kalifornien,USA:s delstater,Kalifornien (USA:s delstater)
Paradigm,Termer inom vetenskapsteori,Paradigm (Termer inom vetenskapsteori)
Flore,Indelningar i England,Flore (Indelningar i England)
Biflod,Hydrologi,Biflod (Hydrologi)
Översvämning,Hydrologi,Översvämning (Hydrologi)
Lagförslag,Lagstiftande församlingar,Lagförslag (Lagstiftande församlingar)
Vesuvius,Berg i Italien,Vesuvius (Berg i Italien)
Sahlberg,Svenska efternamn,Sahlberg (Svenska efternamn)
Bungalow,Byggnadstyper,Bungalow (Byggnadstyper)
Nordpolen,Arktis,Nordpolen (Arktis)
Musikalitet,Musik,Musikalitet (Musik)
IFK Norrköping,Fotbollsklubbar i Sverige,IFK Norrköping (Fotbollsklubbar i Sverige)
Veranda,Byggnadsdetaljer,Veranda (Byggnadsdetaljer)
Joakim Nyström,Svenska tennisspelare,Joakim Nyström (Svenska tennisspelare)
Stadshotell,Hotell,Stadshotell (Hotell)
Samarbete,Kommunikation,Samarbete (Kommunikation)
Föredragning,Juridiska termer,Föredragning (Juridiska termer)
Freja,Gudar i nordisk mytologi,Freja (Gudar i nordisk mytologi)
Marsvin,Sällskapsdjur,Marsvin (Sällskapsdjur)
Kontrahent,Avtalsrätt,Kontrahent (Avtalsrätt)
Aronsson,Svenska efternamn,Aronsson (Svenska efternamn)
Dödsorsak,Döden,Dödsorsak (Döden)
Damaskusskriften,Handskrifter,Damaskusskriften (Handskrifter)
Kalender,Kalendrar,Kalender (Kalendrar)
Eugen,Mansnamn,Eugen (Mansnamn)
Sittning,Måltider,Sittning (Måltider)
Naturvård,Naturskydd,Naturvård (Naturskydd)
Gunde,Mansnamn,Gunde (Mansnamn)
Specialisering,Företagsekonomi,Specialisering (Företagsekonomi)
Arbetstid,Arbetsförhållanden,Arbetstid (Arbetsförhållanden)
Schwarzwaldtårta,Tårtor,Schwarzwaldtårta (Tårtor)
Rubinstein,Jiddisch-efternamn,Rubinstein (Jiddisch-efternamn)
Tobias,Mansnamn,Tobias (Mansnamn)
Långbänk,Politiska termer,Långbänk (Politiska termer)
Sardin,Sillfiskar,Sardin (Sillfiskar)
Grogrund,Musikalbum 2005,Grogrund (Musikalbum 2005)
Nicaragua,Centralamerikas länder,Nicaragua (Centralamerikas länder)
Hybridbil,Fordonsteknik,Hybridbil (Fordonsteknik)
Domän,Sffr arkiv behåll,Domän (Sffr arkiv behåll)
Kuwait,Asiens länder,Kuwait (Asiens länder)
Naturlära,Utbildning i Sverige,Naturlära (Utbildning i Sverige)
Hårtork,Hår,Hårtork (Hår)
Societet,Samhällsklasser,Societet (Samhällsklasser)
Skrivdon,Kontorsvaror,Skrivdon (Kontorsvaror)
Människosyn,Religiösa termer,Människosyn (Religiösa termer)
Övergödning,Miljöförstöring,Övergödning (Miljöförstöring)
Bestämning,Syntax,Bestämning (Syntax)
Teli,Svenska telekommunikationsföretag,Teli (Svenska telekommunikationsföretag)
Grillning,Matlagning,Grillning (Matlagning)
Långfinger,Handen,Långfinger (Handen)
Stipendium,Stipendier,Stipendium (Stipendier)
Ellös,Tätorter i Sverige,Ellös (Tätorter i Sverige)
Ånäset,Tätorter i Sverige,Ånäset (Tätorter i Sverige)
Linbana,Alpin skidsport,Linbana (Alpin skidsport)
Varumärke,Varumärken,Varumärke (Varumärken)
Sjukpenning,Privatekonomi,Sjukpenning (Privatekonomi)
Axelsson,Sonnamn,Axelsson (Sonnamn)
Daglega,Etologi,Daglega (Etologi)
Ablativ,Kasus,Ablativ (Kasus)
Bostadsbidrag,Socialpolitik,Bostadsbidrag (Socialpolitik)
Avskrivning,Bokföring,Avskrivning (Bokföring)
Ädel,Svenska efternamn,Ädel (Svenska efternamn)
Röbäck,Stadsdelar i Umeå,Röbäck (Stadsdelar i Umeå)
Underhållsbidrag,Familjerätt,Underhållsbidrag (Familjerätt)
Ansiktsmask,Huvudbonader,Ansiktsmask (Huvudbonader)
Warszawa,Europas huvudstäder,Warszawa (Europas huvudstäder)
Statsman,Personer inom politik,Statsman (Personer inom politik)
Mutter,Förbandsteknik,Mutter (Förbandsteknik)
Georg Funkquist,Skådespelare från Uppsala,Georg Funkquist (Skådespelare från Uppsala)
Centraleuropa,Regioner i Europa,Centraleuropa (Regioner i Europa)
Syfilis,Sexuellt överförbara sjukdomar,Syfilis (Sexuellt överförbara sjukdomar)
Ordklass,Lexikologi,Ordklass (Lexikologi)
Ross Perot,Amerikanska presidentkandidater,Ross Perot (Amerikanska presidentkandidater)
Norrfors,Orter i Nordmalings kommun,Norrfors (Orter i Nordmalings kommun)
Reallön,Lön,Reallön (Lön)
Château Latour,Franska viner,Château Latour (Franska viner)
Otto Klemperer,Tyska dirigenter,Otto Klemperer (Tyska dirigenter)
Livsmedelsindustri,Tillverkning,Livsmedelsindustri (Tillverkning)
Höglund,Svenska efternamn,Höglund (Svenska efternamn)
Kommunalisering,Ekonomisk politik,Kommunalisering (Ekonomisk politik)
Pyramid,Pyramider,Pyramid (Pyramider)
Göran Karlsson,Personer från Varbergs kommun,Göran Karlsson (Personer från Varbergs kommun)
Demens,Demenssjukdomar,Demens (Demenssjukdomar)
Morgongåva,Äktenskap,Morgongåva (Äktenskap)
Otto,Mansnamn,Otto (Mansnamn)
Filip Ii,Regentnamn,Filip Ii (Regentnamn)
Margit Abenius,Svenska litteraturvetare,Margit Abenius (Svenska litteraturvetare)
Släktträd,Genealogi,Släktträd (Genealogi)
Överstepräst,Religiösa titlar,Överstepräst (Religiösa titlar)
Telefonnummer,Telefoni,Telefonnummer (Telefoni)
Nikolaj Ryzjkov,Ryska politiker,Nikolaj Ryzjkov (Ryska politiker)
Brottsbalken,Straffrätt,Brottsbalken (Straffrätt)
Blåmärke,Hudmanifestationer,Blåmärke (Hudmanifestationer)
Rökelsekar,Liturgiska redskap,Rökelsekar (Liturgiska redskap)
Betänketid,Schacktermer,Betänketid (Schacktermer)
Lars Ag,Svenska chefredaktörer,Lars Ag (Svenska chefredaktörer)
Viveka,Kvinnonamn,Viveka (Kvinnonamn)
Blåkläder,Svenska konfektionsföretag,Blåkläder (Svenska konfektionsföretag)
Bagarstuga,Bakning,Bagarstuga (Bakning)
Libanon,Asiens länder,Libanon (Asiens länder)
Geologi,Geovetenskap,Geologi (Geovetenskap)
Pundare,Missbruk,Pundare (Missbruk)
Trygghetsstiftelsen,Stiftelser i Sverige,Trygghetsstiftelsen (Stiftelser i Sverige)
Släpvagn,Järnvägsfordon,Släpvagn (Järnvägsfordon)
Benjamin,Mansnamn,Benjamin (Mansnamn)
Affekt,Känslor,Affekt (Känslor)
Simmare,Idrottare,Simmare (Idrottare)
Söderblom,Svenska efternamn,Söderblom (Svenska efternamn)
Kollektivavtal,Arbetsrätt,Kollektivavtal (Arbetsrätt)
Arne,Mansnamn,Arne (Mansnamn)
Agitation,Kommunikation,Agitation (Kommunikation)
Statschef,Statsvetenskap,Statschef (Statsvetenskap)
Utredning,Organisation,Utredning (Organisation)
Spexare,Spex,Spexare (Spex)
Gunnar,Mansnamn,Gunnar (Mansnamn)
Vertikal,Geodesi,Vertikal (Geodesi)
Molière,Franska dramatiker,Molière (Franska dramatiker)
Polydora,Spionidae,Polydora (Spionidae)
Profetia,Teologi,Profetia (Teologi)
Koncessionsnämnden,Miljörätt,Koncessionsnämnden (Miljörätt)
Blandskog,Skog,Blandskog (Skog)
Elevhem,Bostad,Elevhem (Bostad)
Ministerråd,Politiska församlingar,Ministerråd (Politiska församlingar)
Framförande,Scenkonst,Framförande (Scenkonst)
Sjukförsäkring,Socialförsäkringar,Sjukförsäkring (Socialförsäkringar)
Kuala Lumpur,Asiens huvudstäder,Kuala Lumpur (Asiens huvudstäder)
Rökning,Hälsa,Rökning (Hälsa)
Tumba,Tätorter i Sverige,Tumba (Tätorter i Sverige)
Byskeälven,Byskeälvens avrinningsområde,Byskeälven (Byskeälvens avrinningsområde)
